證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,流通在外股數(千股),市值(百萬元),股價淨值比-TEJ,股價營收比-TEJ,市場別
0050 元大台灣50,2019/09/02,16.7036,16.7444,16.6729,16.724,25831,,,,,,,TSE
0050 元大台灣50,2019/09/03,16.7138,16.7444,16.581,16.581,20212,,-0.8547,,,,,TSE
0050 元大台灣50,2019/09/04,16.6321,16.7853,16.6219,16.775,42995,,1.17,,,,,TSE
0050 元大台灣50,2019/09/05,16.8567,16.9895,16.8567,16.9486,101718,,1.0347,,,,,TSE
0050 元大台灣50,2019/09/06,16.9997,17.0609,16.9997,17.0507,68905,,0.6024,,,,,TSE
0050 元大台灣50,2019/09/10,17.1426,17.1426,16.9894,17.0303,20687,,-0.1198,,,,,TSE
0050 元大台灣50,2019/09/11,17.1018,17.1324,17.0099,17.0405,18985,,0.06,,,,,TSE
0050 元大台灣50,2019/09/12,17.1732,17.2039,17.1018,17.1324,37124,,0.5393,,,,,TSE
0050 元大台灣50,2019/09/16,17.1528,17.2447,17.1426,17.2345,43719,,0.5959,,,,,TSE
0050 元大台灣50,2019/09/17,17.2345,17.2447,17.1937,17.2039,19867,,-0.1777,,,,,TSE
0050 元大台灣50,2019/09/18,17.2345,17.357,17.2243,17.3468,67998,,0.8309,,,,,TSE
0050 元大台灣50,2019/09/19,17.3468,17.3876,17.2345,17.2447,31109,,-0.5886,,,,,TSE
0050 元大台灣50,2019/09/20,17.2855,17.3366,17.2855,17.2957,32927,,0.296,,,,,TSE
0050 元大台灣50,2019/09/23,17.2855,17.3264,17.2549,17.2549,17479,,-0.2361,,,,,TSE
0050 元大台灣50,2019/09/24,17.2549,17.3264,17.2243,17.2855,19408,,0.1775,,,,,TSE
0050 元大台灣50,2019/09/25,17.2243,17.2243,17.1324,17.1732,15711,,-0.6497,,,,,TSE
0050 元大台灣50,2019/09/26,17.2447,17.2957,17.1834,17.2141,20779,,0.2378,,,,,TSE
0050 元大台灣50,2019/09/27,17.3366,17.3978,17.2549,17.2753,35539,,0.3559,,,,,TSE
0050 元大台灣50,2019/10/01,17.3162,17.5612,17.3162,17.551,36468,,1.5957,,,,,TSE
0050 元大台灣50,2019/10/02,17.4795,17.5408,17.4795,17.4897,22615,,-0.349,,,,,TSE
0050 元大台灣50,2019/10/03,17.2345,17.3774,17.2141,17.3162,19473,,-0.9924,,,,,TSE
0050 元大台灣50,2019/10/04,17.3979,17.4387,17.306,17.3876,14988,,0.4128,,,,,TSE
0050 元大台灣50,2019/10/07,17.4387,17.4897,17.3979,17.4489,16563,,0.3523,,,,,TSE
0050 元大台灣50,2019/10/08,17.5306,17.6837,17.5306,17.6633,48782,,1.2288,,,,,TSE
0050 元大台灣50,2019/10/09,17.5918,17.602,17.5204,17.5204,27667,,-0.8093,,,,,TSE
0050 元大台灣50,2019/10/14,17.7654,17.8777,17.7654,17.8777,37965,,2.0396,,,,,TSE
0050 元大台灣50,2019/10/15,17.8777,17.939,17.8267,17.9083,17510,,0.1713,,,,,TSE
0050 元大台灣50,2019/10/16,17.9696,18.0002,17.939,17.99,15935,,0.4561,,,,,TSE
0050 元大台灣50,2019/10/17,17.9798,18.0002,17.9288,18.0002,10164,,0.0568,,,,,TSE
0050 元大台灣50,2019/10/18,18.0002,18.1023,17.9492,17.9594,11263,,-0.2269,,,,,TSE
0050 元大台灣50,2019/10/21,17.9594,17.9696,17.9186,17.939,4311,,-0.1137,,,,,TSE
0050 元大台灣50,2019/10/22,18.0104,18.133,18.0104,18.1125,13026,,0.9676,,,,,TSE
0050 元大台灣50,2019/10/23,18.1126,18.133,18.0309,18.0615,10323,,-0.2818,,,,,TSE
0050 元大台灣50,2019/10/24,18.1125,18.133,18.0717,18.133,10318,,0.3957,,,,,TSE
0050 元大台灣50,2019/10/25,18.2146,18.2146,18.0921,18.133,31885,,0.0,,,,,TSE
0050 元大台灣50,2019/10/28,18.2249,18.2351,18.1738,18.2146,20039,,0.4504,,,,,TSE
0050 元大台灣50,2019/10/29,18.2759,18.3065,18.2453,18.2657,29644,,0.2803,,,,,TSE
0050 元大台灣50,2019/10/30,18.2657,18.3474,18.2351,18.3474,21537,,0.4472,,,,,TSE
0050 元大台灣50,2019/10/31,18.3576,18.5005,18.3576,18.3984,37833,,0.2783,,,,,TSE
0050 元大台灣50,2019/11/01,18.378,18.4189,18.327,18.3984,11227,,0.0,,,,,TSE
0050 元大台灣50,2019/11/04,18.4903,18.8375,18.4903,18.8272,26923,,2.3307,,,,,TSE
0050 元大台灣50,2019/11/05,18.8681,18.9702,18.8579,18.9702,15865,,0.7592,,,,,TSE
0050 元大台灣50,2019/11/06,18.9804,19.0621,18.9396,19.0621,17977,,0.4844,,,,,TSE
0050 元大台灣50,2019/11/07,19.0314,19.0314,18.8579,18.96,12200,,-0.5356,,,,,TSE
0050 元大台灣50,2019/11/08,18.9906,19.0008,18.8681,18.8987,11562,,-0.3231,,,,,TSE
0050 元大台灣50,2019/11/11,18.8681,18.8783,18.5924,18.6128,23437,,-1.5127,,,,,TSE
0050 元大台灣50,2019/11/12,18.6945,18.7864,18.6945,18.7864,9705,,0.9325,,,,,TSE
0050 元大台灣50,2019/11/13,18.6945,18.7149,18.5924,18.6741,7742,,-0.5978,,,,,TSE
0050 元大台灣50,2019/11/14,18.7047,18.7456,18.623,18.6639,8697,,-0.0547,,,,,TSE
0050 元大台灣50,2019/11/15,18.7864,18.8885,18.7864,18.8477,10044,,0.9847,,,,,TSE
0050 元大台灣50,2019/11/18,18.8885,18.9702,18.8681,18.9702,8350,,0.6501,,,,,TSE
0050 元大台灣50,2019/11/19,18.9702,19.1131,18.9191,19.1131,11286,,0.7535,,,,,TSE
0050 元大台灣50,2019/11/20,19.1131,19.1131,19.011,19.0417,31818,,-0.3739,,,,,TSE
0050 元大台灣50,2019/11/21,18.8477,18.8987,18.7456,18.8885,13135,,-0.8043,,,,,TSE
0050 元大台灣50,2019/11/22,18.8987,18.9396,18.8681,18.8987,6026,,0.0541,,,,,TSE
