feature,appearances,mean_rank,mean_attention_weight,max_attention_weight
roll_min_5,12,2.6666666666666665,0.026052796592315037,0.03433113172650337
roll_min_20,12,1.8333333333333333,0.02591301826760173,0.028629304841160774
roll_min_60,11,2.272727272727273,0.02563803270459175,0.031686924397945404
std_ret_10,9,2.6666666666666665,0.026522267195913527,0.0370606929063797
roll_min_10,9,2.888888888888889,0.02573354583647516,0.03228888288140297
roll_max_5,9,3.5555555555555554,0.024943063656489056,0.031575776636600494
roll_max_10,8,2.625,0.026533128460869193,0.0326688289642334
roll_max_60,8,3.0,0.02421651384793222,0.026752913370728493
up_vol_20,7,2.7142857142857144,0.028628252712743624,0.035484787076711655
vol_over_ma_20,7,3.2857142857142856,0.023409764681543623,0.027294009923934937
roll_max_20,6,2.8333333333333335,0.026242042891681194,0.03368130326271057
vol_over_ma_10,6,3.1666666666666665,0.025262474082410336,0.03050410933792591
vol_over_ma_60,6,3.5,0.024417928730448086,0.025570152327418327
amihud_5,6,4.0,0.023817358228067558,0.02621523104608059
amihud_20,5,2.8,0.024599344283342362,0.027034355327486992
macd_signal,5,4.4,0.022789352387189866,0.025258496403694153
down_vol_20,4,2.75,0.027037744410336018,0.032934293150901794
std_ret_20,4,2.75,0.024840604048222303,0.027791177853941917
macd,4,3.5,0.022589271422475576,0.02482731267809868
ret_1,4,4.25,0.022438890766352415,0.023577425628900528
ps,3,1.3333333333333333,0.02772086610396703,0.028097281232476234
atr_14,3,2.6666666666666665,0.02616927959024906,0.02820740081369877
mom_diff_20,3,2.3333333333333335,0.024901413669188816,0.026963762938976288
pb,3,4.0,0.024398545424143474,0.025282766669988632
mdd_20,3,3.3333333333333335,0.02386436735590299,0.027769971638917923
macd_hist,3,4.333333333333333,0.02241785203417142,0.023111142218112946
pct_pos_20,2,3.0,0.024929131381213665,0.027883682399988174
skew_20,2,2.5,0.02452075481414795,0.025386646389961243
mom_diff_10,2,3.0,0.023968548513948917,0.024525968357920647
zscore_close_60,2,4.5,0.023575534112751484,0.025207029655575752
zscore_close_20,2,5.0,0.02262574154883623,0.022938182577490807
ret_10,1,2.0,0.027407703921198845,0.027407703921198845
pct_to_high_20,1,2.0,0.025545405223965645,0.025545405223965645
pct_to_low_20,1,2.0,0.02497551403939724,0.02497551403939724
pct_pos_10,1,1.0,0.024841902777552605,0.024841902777552605
idio_vol_60,1,4.0,0.023698581382632256,0.023698581382632256
beta_60,1,4.0,0.02341938018798828,0.02341938018798828
px_over_sma_5,1,4.0,0.022534778341650963,0.022534778341650963
pct_pos_60,1,3.0,0.022416552528738976,0.022416552528738976
vol_over_ma_5,1,5.0,0.022200997918844223,0.022200997918844223
rev_1,1,5.0,0.021717997267842293,0.021717997267842293
