graph_mode,window,model,experiment,rank,feature,attention_weight
dynamic,long,dmfm_full,dynamic/long/dmfm_full,1,ps,0.027481460943818092
dynamic,long,dmfm_full,dynamic/long/dmfm_full,2,roll_min_5,0.02337012067437172
dynamic,long,dmfm_full,dynamic/long/dmfm_full,3,atr_14,0.02287754975259304
dynamic,long,dmfm_full,dynamic/long/dmfm_full,4,vol_over_ma_20,0.022408388555049896
dynamic,long,dmfm_full,dynamic/long/dmfm_full,5,amihud_5,0.022183315828442574
dynamic,long,dmfm_ind_neutral,dynamic/long/dmfm_ind_neutral,1,ps,0.027583856135606766
dynamic,long,dmfm_ind_neutral,dynamic/long/dmfm_ind_neutral,2,amihud_5,0.02621523104608059
dynamic,long,dmfm_ind_neutral,dynamic/long/dmfm_ind_neutral,3,roll_max_60,0.024710677564144135
dynamic,long,dmfm_ind_neutral,dynamic/long/dmfm_ind_neutral,4,roll_min_20,0.02262590080499649
dynamic,long,dmfm_ind_neutral,dynamic/long/dmfm_ind_neutral,5,vol_over_ma_60,0.02195947803556919
dynamic,long,gat_industry,dynamic/long/gat_industry,1,roll_max_10,0.02770901471376419
dynamic,long,gat_industry,dynamic/long/gat_industry,2,mom_diff_10,0.024525968357920647
dynamic,long,gat_industry,dynamic/long/gat_industry,3,std_ret_20,0.023752227425575256
dynamic,long,gat_industry,dynamic/long/gat_industry,4,vol_over_ma_10,0.02371886745095253
dynamic,long,gat_industry,dynamic/long/gat_industry,5,roll_min_5,0.02366695925593376
dynamic,long,gat_two_graph_no_neutral,dynamic/long/gat_two_graph_no_neutral,1,mdd_20,0.027769971638917923
dynamic,long,gat_two_graph_no_neutral,dynamic/long/gat_two_graph_no_neutral,2,roll_min_20,0.027432501316070557
dynamic,long,gat_two_graph_no_neutral,dynamic/long/gat_two_graph_no_neutral,3,vol_over_ma_20,0.02427256479859352
dynamic,long,gat_two_graph_no_neutral,dynamic/long/gat_two_graph_no_neutral,4,amihud_20,0.023544125258922577
dynamic,long,gat_two_graph_no_neutral,dynamic/long/gat_two_graph_no_neutral,5,vol_over_ma_5,0.022200997918844223
dynamic,long,gat_universe,dynamic/long/gat_universe,1,roll_min_60,0.028551090508699417
dynamic,long,gat_universe,dynamic/long/gat_universe,2,std_ret_20,0.027791177853941917
dynamic,long,gat_universe,dynamic/long/gat_universe,3,amihud_20,0.0265812985599041
dynamic,long,gat_universe,dynamic/long/gat_universe,4,macd_hist,0.023111142218112946
dynamic,long,gat_universe,dynamic/long/gat_universe,5,roll_max_5,0.02205856516957283
dynamic,long,mlp,dynamic/long/mlp,1,roll_min_20,0.024701828137040138
dynamic,long,mlp,dynamic/long/mlp,2,std_ret_10,0.023719709366559982
dynamic,long,mlp,dynamic/long/mlp,3,amihud_20,0.023399561643600464
dynamic,long,mlp,dynamic/long/mlp,4,ret_1,0.023296523839235306
dynamic,long,mlp,dynamic/long/mlp,5,roll_min_10,0.022801697254180908
dynamic,medium,dmfm_full,dynamic/medium/dmfm_full,1,up_vol_20,0.035484787076711655
dynamic,medium,dmfm_full,dynamic/medium/dmfm_full,2,roll_min_5,0.026953784748911858
dynamic,medium,dmfm_full,dynamic/medium/dmfm_full,3,roll_max_60,0.024727895855903625
dynamic,medium,dmfm_full,dynamic/medium/dmfm_full,4,roll_min_10,0.022275518625974655
dynamic,medium,dmfm_full,dynamic/medium/dmfm_full,5,zscore_close_60,0.021944038569927216
dynamic,medium,dmfm_ind_neutral,dynamic/medium/dmfm_ind_neutral,1,roll_min_5,0.025601379573345184
dynamic,medium,dmfm_ind_neutral,dynamic/medium/dmfm_ind_neutral,2,roll_min_60,0.023942461237311363
dynamic,medium,dmfm_ind_neutral,dynamic/medium/dmfm_ind_neutral,3,std_ret_20,0.023728536441922188
dynamic,medium,dmfm_ind_neutral,dynamic/medium/dmfm_ind_neutral,4,macd,0.02206278406083584
dynamic,medium,dmfm_ind_neutral,dynamic/medium/dmfm_ind_neutral,5,rev_1,0.021717997267842293
dynamic,medium,gat_industry,dynamic/medium/gat_industry,1,roll_max_10,0.02734970860183239
dynamic,medium,gat_industry,dynamic/medium/gat_industry,2,amihud_20,0.027034355327486992
dynamic,medium,gat_industry,dynamic/medium/gat_industry,3,vol_over_ma_10,0.025576209649443626
